CdA sqft,CdA m2,Year,Make,Model,Automobile model
0.21 sq ft,0.020 m2,Pac-,,,Pac-car II
2.04 sq ft,0.190 m2,2011,,,2011 Aptera 2 Series
2.10 sq ft,0.195 m2,2013,,,2013 Urbee 2
2.50 sq ft,0.232 m2,1986,,,1986 Twike
2.54 sq ft,0.236 m2,2002,,,2002 Opel Eco-Speedster
2.69 sq ft,0.250 m2,2009,,,2009 Loremo
2.78 sq ft,0.258 m2,2010,,,2010 Edison2 Very Light Car
3.27 sq ft,0.304 m2,1987,,,1987 Renault VESTA II [fr]
4.72 sq ft,0.439 m2,2014,,,2014 Volkswagen XL Sport
5.00 sq ft,0.465 m2,2005,,,2005 Mercedes-Benz Bionic
